Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Abine,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Admiral Echo,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Admiral Echo Plus,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Admiral Gold,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Affinity Plus,7,,,,7,7,,
Affirm,X,,X,X,X,X,X,
Affirm Opti,X,,X,X,X,X,X,
Agharta,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr
Agree,2 kg,,2 kg,2 kg,2 kg,,,
Agridif 250,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Agrimix Gold,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Agrimix Pro,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Agrimix Top,100 ml,,,100 ml,,,,
Agrumin,20,,,20,,20,,
Airone Più,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Albene,10 l,,10 l,10 l,10 l,,,
Alef,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr
Alfil WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Alial WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
